iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
210,4.072822631,1.719353906,2.079304305,0.068835944,0.016898899,0.182572387
211,4.064850061,1.717088053,2.076325898,0.067380490,0.016694833,0.182296503
212,4.061560112,1.708902145,2.075822181,0.071210309,0.017061279,0.182740886
213,4.065154940,1.712965987,2.079398705,0.068109310,0.017188490,0.182052129
214,4.076819706,1.726669407,2.077954758,0.067440080,0.016886668,0.182208338
215,4.088655956,1.739577076,2.075957250,0.068144053,0.017136615,0.182093428
216,4.067537374,1.715605477,2.076696050,0.070807645,0.016865497,0.182450385
217,4.072030494,1.722502897,2.076508039,0.067840217,0.017195889,0.182368797
218,4.079206844,1.721926742,2.081227532,0.071351057,0.017119589,0.182520811
219,4.076375267,1.725111579,2.078362288,0.067891112,0.016777160,0.182474329
220,4.082129009,1.730347616,2.076251088,0.070476868,0.016910644,0.182246070
221,4.079337894,1.722611165,2.079568390,0.071941162,0.016810720,0.182664165
222,4.078827980,1.728071857,2.076095330,0.069396567,0.017020340,0.182687376
223,4.076020873,1.725342362,2.078498619,0.067886745,0.016779378,0.182340937
224,4.083236700,1.732356480,2.076725617,0.069428103,0.016887102,0.182407405
225,4.081197439,1.729533491,2.076692391,0.069829829,0.016639352,0.182475374
226,4.071862463,1.721818078,2.076091633,0.068797484,0.017015363,0.182481434
227,4.070063833,1.719466494,2.078208275,0.067707672,0.017275883,0.182287335
228,4.094129495,1.744863733,2.076390928,0.067833889,0.016732499,0.182648517
229,4.074063271,1.724010508,2.076325177,0.068283372,0.016830629,0.182724784
230,4.066941303,1.717974269,2.076044705,0.067751895,0.016931771,0.182528605
231,4.063668669,1.714090243,2.076394860,0.068043310,0.016792153,0.182407298
232,4.077960127,1.725652366,2.079018837,0.068554093,0.016936332,0.182477037
233,4.072481108,1.724480816,2.075716559,0.067762431,0.016864618,0.182255038
234,4.072988418,1.723413519,2.075851560,0.069618045,0.016806546,0.182308868
235,4.092513705,1.726646831,2.078866153,0.067640959,0.017320033,0.196396792
236,4.088714561,1.721977396,2.081476751,0.067650378,0.017312054,0.194380914
237,4.081221695,1.734039690,2.075275312,0.067329388,0.016888572,0.182266101
238,4.081255203,1.731553759,2.076238113,0.067803750,0.017463126,0.182395087
239,4.096304018,1.745914439,2.076289100,0.067500998,0.017292582,0.183763795
240,4.071976719,1.722772585,2.075670135,0.068180776,0.016892677,0.182499089
